vinevar,age,unit,geo\time	2020 	2015 
VIM_TOT,TOTAL,HLD,AT32	8 	7 
VIM_TOT,TOTAL,HLD,AT33	15 	12 
VIM_TOT,TOTAL,HLD,AT34	8 	9 
VIM_TOT,TOTAL,HLD,BG	40184 	41004 
VIM_TOT,TOTAL,HLD,BG31	3636 	3862 
VIM_TOT,TOTAL,HLD,BG32	5187 	5285 
VIM_TOT,TOTAL,HLD,BG33	7138 	7328 
VIM_TOT,TOTAL,HLD,BG34	10487 	10572 
VIM_TOT,TOTAL,HLD,BG41	1803 	1834 
VIM_TOT,TOTAL,HLD,BG42	11933 	12123 
VIM_TOT,TOTAL,HLD,CY	11449 	11807 
VIM_TOT,TOTAL,HLD,CZ	16048 	17708 
VIM_TOT,TOTAL,HLD,CZ01	12 	10 
VIM_TOT,TOTAL,HLD,CZ02	67 	68 
VIM_TOT,TOTAL,HLD,CZ03	: c	3 
VIM_TOT,TOTAL,HLD,CZ04	49 	55 
VIM_TOT,TOTAL,HLD,CZ05	4 	3 
VIM_TOT,TOTAL,HLD,CZ06	15514 	17140 
VIM_TOT,TOTAL,HLD,CZ07	398 	427 
VIM_TOT,TOTAL,HLD,CZ08	: c	2 
VIM_TOT,TOTAL,HLD,DE	34329 	42736 
VIM_TOT,TOTAL,HLD,DE11	7483 	9402 
VIM_TOT,TOTAL,HLD,DE12	2340 	2965 
VIM_TOT,TOTAL,HLD,DE13	7731 	10010 
VIM_TOT,TOTAL,HLD,DE14	391 	429 
VIM_TOT,TOTAL,HLD,DE21	3 	: 
VIM_TOT,TOTAL,HLD,DE23	25 	21 
VIM_TOT,TOTAL,HLD,DE24	11 	12 
VIM_TOT,TOTAL,HLD,DE25	316 	391 
VIM_TOT,TOTAL,HLD,DE26	2595 	3115 
VIM_TOT,TOTAL,HLD,DE27	30 	23 
VIM_TOT,TOTAL,HLD,DE40	38 	31 
VIM_TOT,TOTAL,HLD,DE71	917 	1065 
VIM_TOT,TOTAL,HLD,DE73	1 	1 
VIM_TOT,TOTAL,HLD,DE80	3 	2 
VIM_TOT,TOTAL,HLD,DE91	3 	: 
VIM_TOT,TOTAL,HLD,DE92	4 	: 
VIM_TOT,TOTAL,HLD,DE93	3 	: 
VIM_TOT,TOTAL,HLD,DE94	4 	: 
VIM_TOT,TOTAL,HLD,DEA2	4 	3 
VIM_TOT,TOTAL,HLD,DEB1	2118 	2443 
VIM_TOT,TOTAL,HLD,DEB2	2183 	2866 
VIM_TOT,TOTAL,HLD,DEB3	5863 	6964 
VIM_TOT,TOTAL,HLD,DEC0	41 	46 
VIM_TOT,TOTAL,HLD,DED2	1493 	2295 
VIM_TOT,TOTAL,HLD,DED4	5 	4 
VIM_TOT,TOTAL,HLD,DED5	97 	2 
VIM_TOT,TOTAL,HLD,DEE0	542 	565 
VIM_TOT,TOTAL,HLD,DEF0	4 	3 
VIM_TOT,TOTAL,HLD,DEG0	81 	78 
VIM_TOT,TOTAL,HLD,EL	128199 	128948 
VIM_TOT,TOTAL,HLD,EL30	7556 	7328 
VIM_TOT,TOTAL,HLD,EL41	6976 	7221 
VIM_TOT,TOTAL,HLD,EL42	5103 	4914 
VIM_TOT,TOTAL,HLD,EL43	33801 	32850 
VIM_TOT,TOTAL,HLD,EL51	3339 	3392 
VIM_TOT,TOTAL,HLD,EL52	5950 	5792 
VIM_TOT,TOTAL,HLD,EL53	6029 	5951 
VIM_TOT,TOTAL,HLD,EL54	1532 	1130 
VIM_TOT,TOTAL,HLD,EL61	8661 	8565 
VIM_TOT,TOTAL,HLD,EL62	759 	2976 
VIM_TOT,TOTAL,HLD,EL63	17183 	17284 
VIM_TOT,TOTAL,HLD,EL64	14456 	14264 
VIM_TOT,TOTAL,HLD,EL65	16939 	17353 
VIM_TOT,TOTAL,HLD,ES	394009 	436468 
VIM_TOT,TOTAL,HLD,ES11	127105 	139484 
VIM_TOT,TOTAL,HLD,ES12	197 	: 
VIM_TOT,TOTAL,HLD,ES13	64 	237 
VIM_TOT,TOTAL,HLD,ES21	3112 	3102 
VIM_TOT,TOTAL,HLD,ES22	3364 	3824 
VIM_TOT,TOTAL,HLD,ES23	11149 	12100 
VIM_TOT,TOTAL,HLD,ES24	10599 	12957 
VIM_TOT,TOTAL,HLD,ES30	5513 	5102 
VIM_TOT,TOTAL,HLD,ES41	81778 	89761 
VIM_TOT,TOTAL,HLD,ES42	78416 	87400 
VIM_TOT,TOTAL,HLD,ES43	14812 	15492 
VIM_TOT,TOTAL,HLD,ES51	8060 	9873 
VIM_TOT,TOTAL,HLD,ES52	18695 	20727 
VIM_TOT,TOTAL,HLD,ES53	: 	1204 
VIM_TOT,TOTAL,HLD,ES61	15078 	15920 
VIM_TOT,TOTAL,HLD,ES62	4390 	3817 
VIM_TOT,TOTAL,HLD,ES70	11677 	15468 
VIM_TOT,TOTAL,HLD,EU	1196713 	2268956 d
VIM_TOT,TOTAL,HLD,EU27_2020	1196713 	2268956 d
VIM_TOT,TOTAL,HLD,EU28	: 	2268956 d
VIM_TOT,TOTAL,HLD,FR	: 	74815 
VIM_TOT,TOTAL,HLD,FR10	: 	7 
VIM_TOT,TOTAL,HLD,FR21	: 	11539 e
VIM_TOT,TOTAL,HLD,FR22	: 	665 
VIM_TOT,TOTAL,HLD,FR24	: 	1765 
VIM_TOT,TOTAL,HLD,FR25	: 	: c
VIM_TOT,TOTAL,HLD,FR26	: 	4060 
VIM_TOT,TOTAL,HLD,FR41	: 	47 
VIM_TOT,TOTAL,HLD,FR42	: 	4013 
VIM_TOT,TOTAL,HLD,FR43	: 	406 
VIM_TOT,TOTAL,HLD,FR51	: 	1661 
VIM_TOT,TOTAL,HLD,FR53	: 	4573 
VIM_TOT,TOTAL,HLD,FR61	: 	8432 
VIM_TOT,TOTAL,HLD,FR62	: 	2259 
VIM_TOT,TOTAL,HLD,FR63	: 	39 
VIM_TOT,TOTAL,HLD,FR71	: 	6347 
VIM_TOT,TOTAL,HLD,FR72	: 	186 
VIM_TOT,TOTAL,HLD,FR81	: 	20151 
VIM_TOT,TOTAL,HLD,FR82	: 	8416 
VIM_TOT,TOTAL,HLD,FR83	: 	248 
VIM_TOT,TOTAL,HLD,FRA2	: 	0 
VIM_TOT,TOTAL,HLD,FRA3	: 	0 
VIM_TOT,TOTAL,HLD,FRA4	: 	0 
VIM_TOT,TOTAL,HLD,FRA5	: 	0 
VIM_TOT,TOTAL,HLD,FRB0	1546 	: 
VIM_TOT,TOTAL,HLD,FRC1	3566 	: 
VIM_TOT,TOTAL,HLD,FRC2	381 	: 
VIM_TOT,TOTAL,HLD,FRD1	: c	: 
VIM_TOT,TOTAL,HLD,FRD2	3 	: 
VIM_TOT,TOTAL,HLD,FRE1	6 	: 
VIM_TOT,TOTAL,HLD,FRE2	1214 	: 
VIM_TOT,TOTAL,HLD,FRF1	3089 	: 
VIM_TOT,TOTAL,HLD,FRF2	13018 	: 
VIM_TOT,TOTAL,HLD,FRF3	71 	: 
VIM_TOT,TOTAL,HLD,FRG0	1349 	: 
VIM_TOT,TOTAL,HLD,FRH0	6 	: 
